row_index,column_index,column_name,clean_value,dirty_value
0,2,hospital name,fairbanks memorial hospital,fairbqnks memorial hospital
0,14,condition,heart attack,heart atack
1,10,phone number,2565335356,2565335365
2,2,hospital name,cullman regional medical center,culman regional medical center
3,1,provider number,20123,201233
3,8,zip code,99701,9970
3,10,phone number,9074567890,9074567891
3,17,score,89%,88%
3,18,sample,100 patients,105 patients
4,1,provider number,30020,300200
4,8,zip code,80906,8090
4,10,phone number,7195551234,7195551235
4,17,score,78%,80%
4,18,sample,50 patients,55 patients
5,1,provider number,20025,20027
5,8,zip code,62701,62711
5,10,phone number,2175551234,2175551236
5,17,score,84%,86%
5,18,sample,130 patients,135 patients
6,1,provider number,30012,30021
6,8,zip code,90001,90011
6,17,score,91%,89%
6,18,sample,75 patients,70 patients
7,1,provider number,40033,40023
7,8,zip code,32065,32064
7,17,score,88%,85%
7,18,sample,95 patients,90 patients
8,1,provider number,20023,20032
8,8,zip code,99669,99668
8,17,score,79%,80%
8,18,sample,42 patients,40 patients
9,4,address2,empty,unit 101
10,4,address2,empty,suite 200
12,2,hospital name,phoenix children's hospital,phoenix childrens hospital
12,4,address2,empty,apt 102
12,8,zip code,85016,85015
12,10,phone number,6029331000,6029331001
12,17,score,94%,93%
13,2,hospital name,saint joseph hospital,saint josephs hospital
13,4,address2,empty,suite 10
13,8,zip code,80218,80220
13,10,phone number,3038122000,3038122001
13,17,score,82%,81%
14,4,address2,suite 200,suite 201
14,8,zip code,35209,35210
14,10,phone number,2055551212,2055551213
14,17,score,79%,78%
15,1,provider number,20009,20090
15,2,hospital name,northern lights medical center,northern light medical center
15,17,score,88%,82%
16,1,provider number,30017,30071
16,17,score,91%,89%
17,1,provider number,30028,30228
17,17,score,88%,86%
21,1,provider number,30012,30021
21,8,zip code,90210,90211
21,10,phone number,3109876543,3109876540
21,17,score,79%,78%
21,18,sample,90 patients,91 patients
22,1,provider number,40029,40092
22,8,zip code,33130,33131
22,10,phone number,3058765432,3058765435
22,17,score,91%,90%
22,18,sample,45 patients,46 patients
23,1,provider number,10018,10081
23,10,phone number,8504167000,8504167001
23,17,score,79%,80%
23,18,sample,45 patients,44 patients
24,1,provider number,20009,20019
24,4,address2,empty,suite 200
24,5,address3,empty,building C
24,8,zip code,99508,99518
24,10,phone number,9075622211,9075622212
24,17,score,74%,71%
24,18,sample,33 patients,35 patients
25,1,provider number,10037,10073
25,4,address2,empty,unit B
25,5,address3,empty,building D
