index,provider number,hospital name,address1,address2,address3,city,state,zip code,county name,phone number,hospital type,hospital owner,emergency service,condition,measure code,measure name,score,sample,stateavg
375,20003,fairbqnks memorial hospital,1650 cowles street,empty,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,proprietary,yes,heart atack,ami-6,heart attack patients given aspirin at arrival,78%,42 patients,ak_ami-6
932,10047,whitesburg baptist medical center,201 east hospital drive,empty,empty,huntsville,al,35801,madison,2565335365,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,91%,38 patients,al_ami-8a
589,10025,culman regional medical center,1912 alabama highway 157,empty,empty,cullman,al,35058,cullman,2567372000,acute care hospitals,voluntary non-profit - other,yes,pneumonia,pn-4,pneumonia patients assessed and given oxygenation assessment,85%,53 patients,al_pn-4
342,201233,alaska general hospital,123 main street,suite 400,building B,fairbanks,ak,9970,fairbanks north star,9074567891,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,88%,105 patients,ak_hf-1
578,300200,colorado springs medical center,500 mountain view ave,suite 201,wing C,colorado springs,co,8090,el paso,7195551235,acute care hospitals,government - local,yes,stroke,st-1,stroke patients assessed for rehabilitation,80%,55 patients,co_st-1
123,20027,northwest medical center,123 main street,suite 100,floor 3,springfield,il,62711,sangamon,2175551236,general medical and surgical hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,86%,135 patients,il_hf-1
456,30021,sunset valley hospital,700 sunset blvd,unit 50,wing b,sunset city,ca,90011,los angeles,3101234567,acute care hospitals,government - local,yes,stroke,st-6,stroke patients with atrial fibrillation/flutter prescribed anticoagulant therapy at discharge,89%,70 patients,ca_st-6
789,40023,pinecrest medical center,800 pine avenue,suite 200,tower c,pine city,fl,32064,pine,9049876543,general medical and surgical hospitals,proprietary,yes,pneumonia,pn-8,pneumonia patients given smoking cessation advice/counseling,85%,90 patients,fl_pn-8
287,20032,central peninsula general hospital,250 hospital place,suite 2,empty,soldotna,ak,99668,kenai peninsula,9077144500,acute care hospitals,government - local,yes,heart attack,ami-8b,heart attack patients given pci within 90 minutes of arrival,80%,40 patients,ak_amix8b
526,10023,baptist medical center south,2105 east south boulevard,unit 101,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,74%,31 patients,al_ami-7a
741,10037,huntsville hospital,101 sivley road,suite 200,empty,huntsville,al,35801,madison,2562651000,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,82%,48 patients,al_ami-7a
321,20012,fairbanks memorial hospital,1650 cowles street,suite 230,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),78%,42 patients,ak_ami-8b
562,30021,phoenix childrens hospital,1919 east thomas road,apt 102,empty,phoenix,az,85015,maricopa,6029331001,childrens,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-2,surgery patients who received appropriate hair removal,93%,110 patients,az_scip-inf-2
712,40017,saint josephs hospital,1375 east 19th avenue,suite 10,empty,denver,co,80220,denver,3038122001,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,81%,38 patients,co_ami-7a
302,10021,birmingham hospital,1234 oak street,suite 201,empty,birmingham,al,35210,jefferson,2055551213,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,78%,100 patients,al_hf-1
512,20090,northern light medical center,750 aurora blvd,building C,room 123,fairbanks,ak,99775,fairbanks north star,9071234567,acute care hospitals,government - local,yes,stroke,st-2,stroke patients assessed for rehabilitation,82%,45 patients,ak_st-2
729,30071,southern hills medical center,100 southern hills drive,suite 300,empty,nashville,tn,37211,davidson,6159876543,acute care hospitals,proprietary,yes,pneumonia,pn-4,pneumonia patients given oxygenation assessment,89%,150 patients,tn_pn-4
