index,ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
375,20003,fairbanks mexorial hospital,1650 cowles street,empty,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,proxrietary,yes,heart attack,ami-6,heart attack patients given aspirin at arrival,78%,42 patients,ak_ami-6
932,10047,whitesburg baptist medical center,201 east hospital drive,empxy,empty,huntsville,al,35x01,madixon,2565335356,acute care hospitals,voluntary non-profit - private,yes,heart attack,axi-8a,heart attack patients givxn pci within 90 minutes of arrival,91%,38 xatients,al_ami-8a
589,10025,cullman regional medical center,191x alabama highway 157,empty,empty,cullman,al,35058,cullman,2567372000,acute care hospitals,voluntary non-profit - other,yes,pneumonia,pn-4,pneumonia patients assessed and given oxygenation assessment,85%,53 patients,al_pn-4
342,20123,alaska genxral hospital,123 main street,suite 400,building B,fairbanks,ak,99701,fairbanks north star,9074567890,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,89%,100 xatients,ak_hf-1
578,30020,colorado springs medical center,500 mountain view ave,suite 201,wing C,colorado springs,co,80906,el paso,7195551234,acute care hospitals,governmext - local,yes,stroke,st-1,stroke patients assessed for rehabilitation,78%,50 patients,co_st-1
123,20025,northwest medical center,12x main street,suite 100,floor 3,springfielx,il,627x1,sangamon,2175551234,general medical and surgical hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,84%,130 patients,il_hf-1
456,30012,sunset valley hospital,700 sunset blvd,unit 50,wing b,sunsxt city,ca,90001,los angeles,3101234567,acute care hospitals,government - local,yes,stroke,st-6,stroke patients with atrial fibrillation/flutter prescribed anticoagulant therapy at discharge,91%,75 patients,ca_st-6
789,40033,pinecrest medical center,800 pine avenue,suite 200,tower c,pine city,fl,32065,pine,9049876543,general medical and surgical hospitals,proprietary,yes,pneumonia,pn-8,pneumonia patients given smoking cessation advice/counseling,88%,95 patients,fl_pn-8
287,20023,central peninxula general hospital,250 hospitax place,suite 2,empty,soldotna,ak,99669,kenai peninsula,9077144500,acute care hospitals,government - local,yes,heart attack,ami-8b,heart attack patienxs given pci within 90 minutes of arrival,79%,42 patients,ak_amix8b
526,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,33428x2100,acuxe care hospitals,voluntary non-profit - xrivate,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medicaxion within 30 minutes of arrival,74%,31 patients,al_ami-7a
741,10037,huntsville hospital,101 sivley road,empty,empty,huntsville,al,35801,madison,2562651000,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack paxients given fibrinolytic medication within 30 minutes of arrival,82%,48 patients,al_ami-7a
321,20012,fairbaxks memorial hospital,1650 cowlxs street,suite 230,emptx,fairxanks,ak,99701,fairbanxs north star,9074528181,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolxc dysfunction (xvsd),78%,4x patients,ak_ami-8b
562,30021,phoenix children's hospital,1919 east thomas road,empty,empty,phoenix,az,85016,maricopa,6029331000,childrens,voluntary non-profit - private,yes,surgical infection preventxon,scip-inf-2,surgery patients who received appropriate hair removal,94%,110 paxients,az_scip-inf-2
712,40017,saint joseph hospital,1375 east 19th avenue,empty,empty,denver,co,80218,denver,3038122000,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 mixutex of arrival,82%,38 patients,co_ami-7a
302,10021,birmingham hospital,1234 oak street,suite 200,empty,birmingham,al,35209,jeffxrson,2055551212,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patiexts given discharge instructions,79%,100 patients,al_hf-1
512,20009,northern lights medical center,750 aurora blvd,building C,room 123,xairbanks,ak,99775,fairbanks north star,9071234567,acute care hospitals,government - local,yes,stroke,st-2,stroke patients assessed for rehabilitation,88%,45 patients,ak_st-2
729,30017,southern hills medical center,100 southern hills xrive,suite 300,empty,nashville,xn,37211,davidson,6159876543,acute care hospitals,proprietary,yes,pneumxnia,pn-4,pneumonia patients given oxygenation assxssment,91%,150 patients,tn_pn-4
325,30028,sunset hospital,123 main street,suite 200,empty,sunnyvale,ca,94086,santa clara,4085551234,acute care hospitals,voluntary non-profit - private,yes,stroke,stroke-1,stroke patients assessex for rehabilitation,88%,45 patients,ca_stroke-x
712,40013,pine grove medical centex,789 oak avenue,suite 100,empty,pineville,sc,29710,york,80398x6543,acute care hospitals,government - local,yes,heart failure,hf-5,heart failure patients with discharge instructions,95%,68 patients,sc_hf-5
521,20033,northwest medical center,567 cedar street,suite 300,empty,springfield,mo,65802,greenx,4173x378x0,acxte care hospitals,proprietary,yes,hip replacement,hip-2,hip replacement patients receiving physical txerapy,83%,32 patients,mo_hip-2
246,20003,anchorage regioxal hospital,123 main street,suite 100,building B,anchorage,ak,99501,anchorage,9075551234,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,88%,150 patients,ak_hf-1
512,30012,sunset valley medical centex,789 sunset blvd,suite 200,tower A,sunset valley,ca,90210,los angeles,3109876543,acute care hospitals,government - local,yes,stroke,st-6,stroke patients with atrial fibrillation/flutter prescribed anticoagulant therapy at discharge,79%,90 patientx,ca_st-6
739,40029,pinecrest medical center,450 main avenue,suite 300,wing C,pinecrest,fx,33130,miami-dade,305x765432,acute care hospitals,proprietary,yes,hip replacement,hip-1,hip replacement patixnts whose daily activities were assessed and were given instructions for activity,91%,45 patients,fl_hip-1
356,10018,sacred heart health system,5151 n 9xh ave,empty,empty,pexsacola,fl,32504,escambia,8504167000,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-8b,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),79%,45 patients,fl_ami-8b
512,20009,providence alaska medical center,3200 providence drive,empty,xmpty,anchorage,ak,99508,anchorage,9075622211,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,xeart attack patients givxn fibrinolytic medication within 30 minutes of arrival,74%,33 patients,ak_ami-7a
