provider number,hospital name,address1,city,state,zip code,county name,phone number,hospital type,hospital owner,emergency service,condition,measure code,measure name,score,sample,stateavg
10050,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347935000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,75%,30 patients,AL_AMI-7A
10050,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347935000,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,97%,40 patients,AL_PN-5C
10051,FLORENCE HOSPITAL,201 S IRONWOOD DRIVE,FLORENCE,AL,35630,LAUDERDALE,2567672000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,85%,20 patients,AL_AMI-8A
10051,FLORENCE HOSPITAL,201 S IRONWOOD DRIVE,FLORENCE,AL,35630,LAUDERDALE,2567672000,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-6,Pneumonia Patients Who Received Appropriate Antibiotic(s) Within 24 Hours,92%,50 patients,AL_PN-6
10052,BIRMINGHAM MEDICAL CENTER,1234 2ND AVENUE SOUTH,BIRMINGHAM,AL,35233,JEFFERSON,2059342000,Acute Care Hospitals,Public,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,90%,15 patients,AL_AMI-5
10053,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFLMRY BLVD,MOBILE,AL,36607,MOBILE,2514352000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,95%,23 patients,AL_AMI-4
10054,HUNTSVILLE HOSPITAL,101 S HUNTSVILLE HOSPITAL DRIVE,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,Public,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,96%,60 patients,AL_PN-5C
10055,TUSCALOOSA MEDICAL CENTER,2700 HOSPITAL DRIVE,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,88%,22 patients,AL_AMI-8A
10056,DECATUR MORGAN HOSPITAL,1202 14TH STREET SE,DECATUR,AL,35601,MORGAN,2569732000,Acute Care Hospitals,Public,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,80%,25 patients,AL_AMI-7A
10057,ANNISTON REGIONAL MEDICAL CENTER,1001 LEIGHTON AVENUE,ANNISTON,AL,36207,CALHOUN,2562355000,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-6,Pneumonia Patients Who Received Appropriate Antibiotic(s) Within 24 Hours,93%,45 patients,AL_PN-6
10058,SELMA MEDICAL CENTER,1000 MEDICAL CENTER DRIVE,SELMA,AL,36701,DALLAS,3348747000,Acute Care Hospitals,Public,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,89%,18 patients,AL_AMI-5
10059,TALLADEGA HEALTHCARE,300 HOSPITAL DRIVE,TALLADEGA,AL,35160,TALLADEGA,2567612000,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,91%,55 patients,AL_PN-5C
10060,BAY MEDICAL CENTER,400 E 15TH STREET,PANAMA CITY,AL,32401,BAY,8507698341,Acute Care Hospitals,Public,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,82%,30 patients,AL_AMI-8A
10061,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,2567372000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,87%,20 patients,AL_AMI-4
10062,LIMESTONE MEDICAL CENTER,400 HIGHWAY 72,ATHENS,AL,35611,LIMESTONE,2562331000,Acute Care Hospitals,Public,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,94%,50 patients,AL_PN-5C
10063,BLOUNT MEMORIAL HOSPITAL,1512 FARRIS AVE,ONEONTA,AL,35121,BLOUNT,2056254673,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,81%,35 patients,AL_AMI-7A
10064,NORTH ALABAMA MEDICAL CENTER,1801 ALABAMA HIGHWAY 157,FLORENCE,AL,35630,LAUDERDALE,2567601000,Acute Care Hospitals,Public,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,86%,28 patients,AL_AMI-8A
10065,SANDERSVILLE MEDICAL CENTER,123 MEDICAL DRIVE,SANDERSVILLE,AL,36776,BULLOCK,3345678000,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-6,Pneumonia Patients Who Received Appropriate Antibiotic(s) Within 24 Hours,90%,38 patients,AL_PN-6
10066,BIRMINGHAM CHILDREN'S HOSPITAL,1600 7TH AVE S,BIRMINGHAM,AL,35233,JEFFERSON,2059343000,Pediatric Hospitals,Public,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,78%,10 patients,AL_AMI-5
10067,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD E,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,Veterans Hospitals,Public,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,92%,15 patients,AL_AMI-4
