index,provider number,hospital name,address1,address2,address3,city,state,zip code,county name,phone number,hospital type,hospital owner,emergency service,condition,measure code,measure name,score,sample,stateavg
375,20003,fairbanks memorial hospital,1650 cowles street,empty,empty,fairbanks,ak,99701,fairbanks north star,9074528181,acute care hospitals,proprietary,yes,heart attack,ami-6,heart attack patients given aspirin at arrival,78%,42 patients,ak_ami-6
932,10047,whitesburg baptist medical center,201 east hospital drive,empty,empty,huntsville,al,35801,madison,2565335356,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,91%,38 patients,al_ami-8a
589,10025,cullman regional medical center,1912 alabama highway 157,empty,empty,cullman,al,35058,cullman,2567372000,acute care hospitals,voluntary non-profit - other,yes,pneumonia,pn-4,pneumonia patients assessed and given oxygenation assessment,85%,53 patients,al_pn-4
342,20123,alaska general hospital,123 main street,suite 400,building B,fairbanks,ak,99701,fairbanks north star,9074567890,acute care hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,89%,100 patients,ak_hf-1
578,30020,colorado springs medical center,500 mountain view ave,suite 201,wing C,colorado springs,co,80906,el paso,7195551234,acute care hospitals,government - local,yes,stroke,st-1,stroke patients assessed for rehabilitation,78%,50 patients,co_st-1
123,20025,northwest medical center,123 main street,suite 100,floor 3,springfield,il,62701,sangamon,2175551234,general medical and surgical hospitals,voluntary non-profit - private,yes,heart failure,hf-1,heart failure patients given discharge instructions,84%,130 patients,il_hf-1
456,30012,sunset valley hospital,700 sunset blvd,unit 50,wing b,sunset city,ca,90001,los angeles,3101234567,acute care hospitals,government - local,yes,stroke,st-6,stroke patients with atrial fibrillation/flutter prescribed anticoagulant therapy at discharge,91%,75 patients,ca_st-6
789,40033,pinecrest medical center,800 pine avenue,suite 200,tower c,pine city,fl,32065,pine,9049876543,general medical and surgical hospitals,proprietary,yes,pneumonia,pn-8,pneumonia patients given smoking cessation advice/counseling,88%,95 patients,fl_pn-8
287,20023,central peninsula general hospital,250 hospital place,suite 2,empty,soldotna,ak,99669,kenai peninsula,9077144500,acute care hospitals,government - local,yes,heart attack,ami-8b,heart attack patients given pci within 90 minutes of arrival,79%,42 patients,ak_amix8b
526,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - private,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,74%,31 patients,al_ami-7a
