provider number,hospital name,address1,city,state,zip code,county name,phone number,hospital type,hospital owner,emergency service,condition,measure code,measure name,score,sample,stateavg
10050,GREENBRIER HEALTH CENTER,456 GREENBRIER STREET,GREENBRIER,AL,35645,MORGAN,2567736512,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,95%,15 patients,AL_SCIP-CARD-2
10051,HIGHLAND MEDICAL CENTER,123 HIGHLAND AVENUE,HIGHLAND,AL,35630,LAUDERDALE,2567688401,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,88%,120 patients,AL_PN-5C
10060,HIGHLAND MEDICAL CENTER,123 HIGHLAND AVENUE,HIGHLAND,AL,35630,LAUDERDALE,2567688401,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,85%,10 patients,AL_SCIP-CARD-2
10053,PINEVILLE HEALTH CENTER,101 PINEVILLE ROAD,PINEVILLE,AL,35648,MORGAN,2567736515,Acute Care Hospitals,Proprietary,Yes,Hypertension,HTN-5C,Hypertension Patients Receiving Antihypertensive Medication Within 24 Hours of Admission,72%,10 patients,AL_HTN-5C
10054,NORTHWEST HEALTH CENTER,202 NORTHWEST STREET,NORTHWEST,AL,35649,MORGAN,2567736516,Acute Care Hospitals,Proprietary,Yes,Asthma,ASTM-7A,Asthma Patients Receiving Inhalers Within 48 Hours of Admission,80%,18 patients,AL_ASTM-7A
10055,SOUTHERN HEALTH CENTER,303 SOUTHERN STREET,SOUTHERN,AL,35650,MORGAN,2567736517,Acute Care Hospitals,Proprietary,Yes,Cancer,CANCER-7A,Cancer Patients Receiving Chemotherapy Within 72 Hours of Admission,68%,14 patients,AL_CANCER-7A
10057,WATERFORD HEALTH CENTER,789 WATERFORD AVENUE,WATERFORD,AL,35647,MORGAN,2567736514,Acute Care Hospitals,Proprietary,Yes,Chronic Obstructive Pulmonary Disease,COPD-5C,Chronic Obstructive Pulmonary Disease Patients Receiving Inhalers Within 48 Hours of Admission,70%,12 patients,AL_COPD-5C
10058,PINEVILLE HEALTH CENTER,101 PINEVILLE ROAD,PINEVILLE,AL,35648,MORGAN,2567736515,Acute Care Hospitals,Proprietary,Yes,Gastroenteritis,GAST-5C,Gastroenteritis Patients Receiving Anti-Gastroenteritis Medication Within 24 Hours of Admission,85%,2 paxienxs,AL_GAST-5C
10059,NORTHWEST HEALTH CENTER,202 NORTHWEST STREET,NORTHWEST,AL,35649,MORGAN,2567736516,Acute Care Hospitals,Proprietary,Yes,Anxiety,ANX-5C,Anxiety Patients Receiving Anti-Anxiety Medication Within 24 Hours of Admission,78%,13 patients,AL_ANX-5C
10060,SOUTHERN HEALTH CENTER,303 SOUTHERN STREET,SOUTHERN,AL,35650,MORGAN,2567736517,Acute Care Hospitals,Proprietary,Yes,Rheumatoid Arthritis,RA-5C,Rheumatoid Arthritis Patients Receiving Anti-Rheumatic Medication Within 48 Hours of Admission,72%,11 patients,AL_RA-5C
10061,CABIN HEALTH CENTER,404 CABIN ROAD,CABIN,AL,35651,MORGAN,2567736518,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-5C,Heart Failure Patients Receiving Beta Blockers Within 24 Hours of Admission,70%,14 patients,AL_HF-5C
10062,WATERFORD HEALTH CENTER,789 WATERFORD AVENUE,WATERFORD,AL,35647,MORGAN,2567736514,Acute Care Hospitals,Proprietary,Yes,Cancer,CANCER-5C,Cancer Patients Receiving Chemotherapy Within 72 Hours of Admission,68%,13 patients,AL_CANCER-5C
10061,HIGHLAND MEDICAL CENTER,123 HIGHLAND AVENUE,HIGHLAND,AL,35630,LAUDERDALE,2567688401,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,90%,70 patients,AL_PN-5C
10063,PINEVILLE HEALTH CENTER,101 PINEVILLE ROAD,PINEVILLE,AL,35648,MORGAN,2567736515,Acute Care Hospitals,Proprietary,Yes,Diabetic Complication,DM-5C,Diabetic Patients Receiving Insulin Within 24 Hours of Admission,80%,16 patients,AL_DM-5C
10064,NORTHWEST HEALTH CENTER,202 NORTHWEST STREET,NORTHWEST,AL,35649,MORGAN,2567736516,Acute Care Hospitals,Proprietary,Yes,Osteoarthritis,OA-5C,Osteoarthritis Patients Receiving NSAIDs Within 48 Hours of Admission,75%,14 patients,AL_OA-5C
10064,NORTHWEST HEALTH CENTER,202 NORTHWEST STREET,NORTHWEST,AL,35649,MORGAN,2567736516,Acute Care Hospitals,Proprietary,Yes,Osteoarthritis,OA-5C,Osteoarthritis Patients Receiving NSAIDs Within 48 Hours of Admission,75%,14 patients,AL_OA-5C
10065,SOUTHERN HEALTH CENTER,303 SOUTHERN STREET,SOUTHERN,AL,35650,MORGAN,2567736517,Acute Care Hospitals,Proprietary,Yes,Chronic Kidney Disease,CKD-5C,Chronic Kidney Disease Patients Receiving Dialysis Within 72 Hours of Admission,65%,9 patients,AL_CKD-5C
10066,CABIN HEALTH CENTER,404 CABIN ROAD,CABIN,AL,35651,MORGAN,2567736518,Acute Care Hospitals,Proprietary,Yes,Hypertension,HTN-5C,Hypertension Patients Receiving Antihypertensive Medication Within 24 Hours of Admission,72%,10 patients,AL_HTN-5C
10067,WATERFORD HEALTH CENTER,789 WATERFORD AVENUE,WATERFORD,AL,35647,MORGAN,2567736514,Acute Care Hospitals,Proprietary,Yes,Chronic Obstructive Pulmonary Disease,COPD-5C,Chronic Obstructive Pulmonary Disease Patients Receiving Inhalers Within 48 Hours of Admission,70%,12 patients,AL_COPD-5C
10068,PINEVILLE HEALTH CENTER,101 PINEVILLE ROAD,PINEVILLE,AL,35648,MORGAN,2567736515,Acute Care Hospitals,Proprietary,Yes,Gastroenteritis,GAST-5C,Gastroenteritis Patients Receiving Anti-Gastroenteritis Medication Within 24 Hours of Admission,85%,17 patients,AL_GAST-5C
10069,NORTHWEST HEALTH CENTER,202 NORTHWEST STREET,NORTHWEST,AL,35649,MORGAN,2567736516,Acute Care Hospitals,Proprietary,Yes,Anxiety,ANX-5C,Anxiety Patients Receiving Anti-Anxiety Medication Within 24 Hours of Admission,78%,13 patients,AL_ANX-5C
10050,GREENVILLE REGIONAL HOSPITAL,123 GREENVILLE STREET,GREENVILLE,AL,35645,MONTGOMERY,2565550123,Acute Care Hospitals,Proprietary,Yes,Diabetic Complication,DM-7B,Diabetic Patients Receiving Insulin Within 24 Hours of Diagnosis,82%,45 patients,AL_DM-7B
10051,HIGHLAND HOSPITAL,456 HIGHLAND AVENUE,HIGHLAND,AL,35646,MONTGOMERY,2565550124,Acute Care Hospitals,Proprietary,Yes,Osteoarthritis,OA-6C,Osteoarthritis Patients Receiving Physical Therapy Within 7 Days of Diagnosis,78%,30 patients,AL_OA-6C
10062,HIGHLAND MEDICAL CENTER,123 HIGHLAND AVENUE,HIGHLAND,AL,35630,LAUDERDALE,2567688401,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,70%,10 patients,AL_AMI-7A
10053,LAWRENCE HOSPITAL,102 LAWRENCE STREET,LAWRENCE,AL,35648,MONTGOMERY,2565550126,Acute Care Hospitals,Proprietary,Yes,Anxiety Disorder,ANX-8D,Anxiety Disorder Patients Receiving Antidepressants Within 30 Days of Diagnosis,72%,35 patients,AL_ANX-8D
10054,DUNCAN HOSPITAL,204 DUNCAN STREET,DUNCAN,AL,35649,MONTGOMERY,2565550127,Acute Care Hospitals,Proprietary,Yes,Hypertension,HTN-4B,Hypertension Patients Receiving Antihypertensive Medication Within 7 Days of Diagnosis,80%,50 patients,AL_HTN-4B
10055,HARPER HOSPITAL,305 HARPER AVENUE,HARPER,AL,35650,MONTGOMERY,2565550128,Acute Care Hospitals,Proprietary,Yes,Gastrointestinal Disorder,GI-6C,Gastrointestinal Disorder Patients Receiving Antiemetic Medication Within 24 Hours of Diagnosis,75%,40 patients,AL_GI-6C
10056,DANVILLE HOSPITAL,402 DANVILLE STREET,DANVILLE,AL,35651,MONTGOMERY,2565550129,Acute Care Hospitals,Proprietary,Yes,Respiratory Disease,RD-5A,Respiratory Disease Patients Receiving Oxygen Therapy Within 48 Hours of Diagnosis,70%,32 patients,AL_RD-5A
10057,MONTGOMERY HOSPITAL,501 MONTGOMERY AVENUE,MONTGOMERY,AL,35652,MONTGOMERY,2565550130,Acute Care Hospitals,Proprietary,Yes,Cardiovascular Disease,CV-7B,Cardiovascular Disease Patients Receiving Antiplatelet Medication Within 7 Days of Diagnosis,85%,60 patients,AL_CV-7B
10058,GILBERT HOSPITAL,603 GILBERT STREET,GILBERT,AL,35653,MONTGOMERY,2565550131,Acute Care Hospitals,Proprietary,Yes,Neurological Disorder,ND-8C,Neurological Disorder Patients Receiving Anticonvulsants Within 30 Days of Diagnosis,73%,28 patients,AL_ND-8C
10059,WILSON HOSPITAL,705 WILSON STREET,WILSON,AL,35654,MONTGOMERY,2565550132,Acute Care Hospitals,Proprietary,Yes,Allergy,AL-6D,Allergy Patients Receiving Antihistamines Within 24 Hours of Diagnosis,80%,45 patients,AL_AL-6D
10060,RUSSELL HOSPITAL,807 RUSSELL STREET,RUSSELL,AL,35655,MONTGOMERY,2565550133,Acute Care Hospitals,Proprietary,Yes,Infectious Disease,ID-4C,Infectious Disease Patients Receiving Antibiotics Within 7 Days of Diagnosis,77%,33 patients,AL_ID-4C
10061,PENNSYLVANIA HOSPITAL,909 PENNSYLVANIA AVENUE,PENNSYLVANIA,AL,35656,MONTGOMERY,2565550134,Acute Care Hospitals,Proprietary,Yes,Chronic Obstructive Pulmonary Disease,COPD-5A,Chronic Obstructive Pulmonary Disease Patients Receiving Inhaled Corticosteroids Within 14 Days of Diagnosis,72%,25 patients,AL_COPD-5A
10062,HARRIS HOSPITAL,101 HARRIS STREET,HARRIS,AL,35657,MONTGOMERY,2565550135,Acute Care Hospitals,Proprietary,Yes,Gastrointestinal Disorder,GI-6C,Gastrointestinal Disorder Patients Receiving Antiemetic Medication Within 24 Hours of Diagnosis,75%,30 patients,AL_GI-6C
10063,HIGHLAND MEDICAL CENTER,123 HIGHLAND AVENUE,HIGHLAND,AL,35630,LAUDERDALE,2567688401,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,80%,25 patients,AL_SCIP-CARD-2
10063,COAL HOSPITAL,111 COAL STREET,COAL,AL,35658,MONTGOMERY,2565550136,Acute Care Hospitals,Proprietary,Yes,Respiratory Disease,RD-5A,Respiratory Disease Patients Receiving Oxygen Therapy Within 48 Hours of Diagnosis,70%,28 patients,AL_RD-5A
10050,COAL HOSPITAL,111 COAL STREET,COAL,AL,35658,MONTGOMERY,2565550136,Acute Care Hospitals,Proprietary,Yes,Respiratory Disease,RD-5A,Respiratory Disease Patients Receiving Oxygen Therapy Within 48 Hours of Diagnosis,70%,28 patients,AL_RD-5A
10064,HARRIS HOSPITAL,101 HARRIS STREET,HARRIS,AL,35659,MONTGOMERY,2565550137,Acute Care Hospitals,Proprietary,Yes,Neurological Disorder,ND-8C,Neurological Disorder Patients Receiving Anticonvulsants Within 30 Days of Diagnosis,73%,25 patients,AL_ND-8C
10065,WILSON HOSPITAL,705 WILSON STREET,WILSON,AL,35660,MONTGOMERY,2565550138,Acute Care Hospitals,Proprietary,Yes,Allergy,AL-6D,Allergy Patients Receiving Antihistamines Within 24 Hours of Diagnosis,80%,45 patients,AL_AL-6D
10066,RUSSELL HOSPITAL,807 RUSSELL STREET,RUSSELL,AL,35661,MONTGOMERY,2565550139,Acute Care Hospitals,Proprietary,Yes,Infectious Disease,ID-4C,Infectious Disease Patients Receiving Antibiotics Within 7 Days of Diagnosis,77%,33 patients,AL_ID-4C
10067,PENNSYLVANIA HOSPITAL,909 PENNSYLVANIA AVENUE,PENNSYLVANIA,AL,35662,MONTGOMERY,2565550140,Acute Care Hospitals,Proprietary,Yes,Chronic Obstructive Pulmonary Disease,COPD-5A,Chronic Obstructive Pulmonary Disease Patients Receiving Inhaled Corticosteroids Within 14 Days of Diagnosis,72%,25 patients,AL_COPD-5A
10068,HARRIS HOSPITAL,101 HARRIS STREET,HARRIS,AL,35663,MONTGOMERY,2565550141,Acute Care Hospitals,Proprietary,Yes,Gastrointestinal Disorder,GI-6C,Gastrointestinal Disorder Patients Receiving Antiemetic Medication Within 24 Hours of Diagnosis,75%,30 patients,AL_GI-6C
10068,HARRIS HOSPITAL,101 HARRIS STREET,HARRIS,AL,35663,MONTGOMERY,2565550141,Acute Care Hospitals,Proprietary,Yes,Gastrointestinal Disorder,GI-6C,Gastrointestinal Disorder Patients Receiving Antiemetic Medication Within 24 Hours of Diagnosis,75%,30 patients,AL_GI-6C
10050,GREEN BAY REGIONAL HOSPITAL,123 GREEN BAY AVENUE,GREEN BAY,WI,56301,BOWLING GREEN,2624555123,Acute Care Hospitals,Proprietary,Yes,Diabetic Retinopathy,DR-7A,Diabetic Retinopathy Patients Received Anti-VEGF Therapy Within 72 Hours Of Diagnosis,82%,45 patients,WI_DR-7A
10052,WATERFORD REGIONAL HOSPITAL,789 WATERFORD STREET,WATERFORD,WI,56303,BOWLING GREEN,2624555125,Acute Care Hospitals,Proprietary,Yes,Gastroesophageal Reflux Disease,GER-7A,Gastroesophageal Reflux Disease Patients Received Proton Pump Inhibitors Within 48 Hours Of Diagnosis,78%,32 patients,WI_GER-7A
10064,HIGHLAND MEDICAL CENTER,123 HIGHLAND AVENUE,HIGHLAND,AL,35630,LAUDERDALE,2567688401,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,95%,60 patients,AL_PN-5C
10054,HOLLYWOOD HOSPITAL,202 HOLLYWOOD STREET,HOLLYWOOD,CA,90001,HONOLULU,2134555127,Acute Care Hospitals,Proprietary,Yes,Chronic Obstructive Pulmonary Disease,COPD-6A,Chronic Obstructive Pulmonary Disease Patients Received Bronchodilators Within 48 Hours Of Diagnosis,70%,28 patients,CA_COPD-6A
10055,PINE HILL HOSPITAL,303 PINE HILL ROAD,PINE HILL,VA,22001,MONTGOMERY,2164555128,Acute Care Hospitals,Proprietary,Yes,Migraine,MIG-7A,Migraine Patients Received Anti-Migraine Medication Within 24 Hours Of Diagnosis,88%,42 patients,VA_MIG-7A
10056,TWIN CITIES HOSPITAL,404 TWIN CITIES AVENUE,TWIN CITIES,MN,55001,MONTGOMERY,5554555129,Acute Care Hospitals,Proprietary,Yes,Anxiety,ANX-6A,Anxiety Patients Received Anti-Anxiety Medication Within 24 Hours Of Diagnosis,75%,35 patients,MN_ANX-6A
10057,RIVERSIDE HOSPITAL,505 RIVERSIDE STREET,RIVERSIDE,CA,92501,SACRAMENTO,9494555130,Acute Care Hospitals,Proprietary,Yes,Depression,DEP-7A,Depression Patients Received Antidepressants Within 24 Hours Of Diagnosis,80%,55 patients,CA_DEP-7A
10058,HIGHLAND HOSPITAL,456 HIGHLAND STREET,HIGHLAND,WI,56302,BOWLING GREEN,2624555124,Acute Care Hospitals,Proprietary,Yes,Osteoarthritis,OA-6A,Osteoarthritis Patients Received Physical Therapy Within 2 Weeks Of Diagnosis,92%,60 patients,WI_OA-6A
10059,WATERFORD REGIONAL HOSPITAL,789 WATERFORD STREET,WATERFORD,WI,56303,BOWLING GREEN,2624555125,Acute Care Hospitals,Proprietary,Yes,Gastroesophageal Reflux Disease,GER-7A,Gastroesophageal Reflux Disease Patients Received Proton Pump Inhibitors Within 48 Hours Of Diagnosis,78%,32 patients,WI_GER-7A
10061,HOLLYWOOD HOSPITAL,202 HOLLYWOOD STREET,HOLLYWOOD,CA,90001,HONOLULU,2134555127,Acute Care Hospitals,Proprietary,Yes,Chronic Obstructive Pulmonary Disease,COPD-6A,Chronic Obstructive Pulmonary Disease Patients Received Bronchodilators Within 48 Hours Of Diagnosis,70%,28 patients,CA_COPD-6A
10061,HOLLYWOOD HOSPITAL,202 HOLLYWOOD STREET,HOLLYWOOD,CA,90001,HONOLULU,2134555127,Acute Care Hospitals,Proprietary,Yes,Chronic Obstructive Pulmonary Disease,COPD-6A,Chronic Obstructive Pulmonary Disease Patients Received Bronchodilators Within 48 Hours Of Diagnosis,70%,28 patients,CA_COPD-6A
10062,PINE HILL HOSPITAL,303 PINE HILL ROAD,PINE HILL,VA,22001,MONTGOMERY,2164555128,Acute Care Hospitals,Proprietary,Yes,Migraine,MIG-7A,Migraine Patients Received Anti-Migraine Medication Within 24 Hours Of Diagnosis,88%,42 patients,VA_MIG-7A
10062,PINE HILL HOSPITAL,303 PINE HILL ROAD,PINE HILL,VA,22001,MONTGOMERY,2164555128,Acute Care Hospitals,Proprietary,Yes,Migraine,MIG-7A,Migraine Patients Received Anti-Migraine Medication Within 24 Hours Of Diagnosis,88%,42 patients,VA_MIG-7A
10063,TWIN CITIES HOSPITAL,404 TWIN CITIES AVENUE,TWIN CITIES,MN,55001,MONTGOMERY,5554555129,Acute Care Hospitals,Proprietary,Yes,Anxiety,ANX-6A,Anxiety Patients Received Anti-Anxiety Medication Within 24 Hours Of Diagnosis,75%,35 patients,MN_ANX-6A
10065,HIGHLAND MEDICAL CENTER,123 HIGHLAND AVENUE,HIGHLAND,AL,35630,LAUDERDALE,2567688401,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,85%,2 paxienxs,AL_AMI-5
10064,RIVERSIDE HOSPITAL,505 RIVERSIDE STREET,RIVERSIDE,CA,92501,SACRAMENTO,9494555130,Acute Care Hospitals,Proprietary,Yes,Depression,DEP-7A,Depression Patients Received Antidepressants Within 24 Hours Of Diagnosis,80%,55 patients,CA_DEP-7A
10065,HIGHLAND HOSPITAL,456 HIGHLAND STREET,HIGHLAND,WI,56302,BOWLING GREEN,2624555124,Acute Care Hospitals,Proprietary,Yes,Osteoarthritis,OA-6A,Osteoarthritis Patients Received Physical Therapy Within 2 Weeks Of Diagnosis,92%,60 patients,WI_OA-6A
10066,WATERFORD REGIONAL HOSPITAL,789 WATERFORD STREET,WATERFORD,WI,56303,BOWLING GREEN,2624555125,Acute Care Hospitals,Proprietary,Yes,Gastroesophageal Reflux Disease,GER-7A,Gastroesophageal Reflux Disease Patients Received Proton Pump Inhibitors Within 48 Hours Of Diagnosis,78%,32 patients,WI_GER-7A
10067,CHICAGO REGIONAL HOSPITAL,101 CHICAGO AVENUE,CHICAGO,IL,60601,BOISE,2174555126,Acute Care Hospitals,Proprietary,Yes,Hypertension,HT-5A,Hypertension Patients Received Antihypertensive Medication Within 24 Hours Of Diagnosis,85%,50 patients,IL_HT-5A
10068,HOLLYWOOD HOSPITAL,202 HOLLYWOOD STREET,HOLLYWOOD,CA,90001,HONOLULU,2134555127,Acute Care Hospitals,Proprietary,Yes,Chronic Obstructive Pulmonary Disease,COPD-6A,Chronic Obstructive Pulmonary Disease Patients Received Bronchodilators Within 48 Hours Of Diagnosis,70%,2 paxienxs,CA_COPD-6A
10041,GREENBRIER HEALTH SYSTEM,123 GREENBRIER STREET,GREENBRIER,AL,35645,MORGAN,2567736512,Acute Care Hospitals,Proprietary,Yes,Diabetic Complication,DIAB-7A,Diabetic Patients Received Insulin Within 24 Hours Of Admission,72%,15 patients,AL_DIAB-7A
10043,PINE RIDGE HOSPITAL,789 PINE RIDGE ROAD,PINE RIDGE,AL,35643,MORGAN,2567736513,Acute Care Hospitals,Proprietary,Yes,Hypertension,HTN-5A,Hypertensive Patients Received Antihypertensive Medication Within 24 Hours Of Admission,68%,18 patients,AL_HTN-5A
10044,RIVERVIEW HOSPITAL,101 RIVERVIEW DRIVE,RIVERVIEW,AL,35635,LAUDERDALE,2567688402,Acute Care Hospitals,Proprietary,Yes,Cancer,CANCER-5A,Cancer Patients Received Chemotherapy Within 24 Hours Of Admission,80%,25 patients,AL_CANCER-5A
10045,SUNSET HOSPITAL,222 SUNSET DRIVE,SUNSET,AL,35644,MORGAN,2567736514,Acute Care Hospitals,Proprietary,Yes,Stroke,STROKE-5A,Stroke Patients Received Antiplatelet Therapy Within 24 Hours Of Admission,75%,17 patients,AL_STROKE-5A
10066,HIGHLAND MEDICAL CENTER,123 HIGHLAND AVENUE,HIGHLAND,AL,35630,LAUDERDALE,2567688401,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,88%,18 patients,AL_SCIP-CARD-2
10046,TOWNSEND HOSPITAL,333 TOWNSEND STREET,TOWNSEND,AL,35631,LAUDERDALE,2567688403,Acute Care Hospitals,Proprietary,Yes,Diabetes Mellitus,DM-5A,Diabetic Patients Received Insulin Within 24 Hours Of Admission,78%,20 patients,AL_DM-5A
10047,WATERFORD HOSPITAL,444 WATERFORD STREET,WATERFORD,AL,35634,LAUDERDALE,2567688404,Acute Care Hospitals,Proprietary,Yes,Asthma,ASTHMA-5A,Asthma Patients Received Inhaler Within 24 Hours Of Admission,82%,25 patients,AL_ASTHMA-5A
10048,BAYVIEW HOSPITAL,555 BAYVIEW DRIVE,BAYVIEW,AL,35646,MORGAN,2567736515,Acute Care Hospitals,Proprietary,Yes,Osteoporosis,OSTEOPOROSIS-5A,Osteoporosis Patients Received Bisphosphonates Within 24 Hours Of Admission,70%,16 patients,AL_OSTEOPOROSIS-5A
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,100%,28 patients,AL_SCIP-CARD-2
10050,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,100%,1 patient,AL_AMI-5
10051,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,65%,20 patients,AL_AMI-7A
10052,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-6,Heart Attack Patients Given Beta Blocker at Discharge,90%,15 patients,AL_AMI-6
10052,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-6,Heart Attack Patients Given Beta Blocker at Discharge,90%,15 patients,AL_AMI-6
10053,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-8,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,70%,10 patients,AL_AMI-8
10054,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-9,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,60%,5 patients,AL_AMI-9
10055,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-10,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,55%,3 patients,AL_AMI-10
10067,HIGHLAND MEDICAL CENTER,123 HIGHLAND AVENUE,HIGHLAND,AL,35630,LAUDERDALE,2567688401,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,92%,55 patients,AL_PN-5C
10056,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-11,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,45%,2 patients,AL_AMI-11
10057,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-12,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,35%,2 paxienxs,AL_AMI-12
